Tickers,Analyst Rating,Industry,Working Capital,,,,,Quick Ratio,,,,,EPS,,,,,PE Ratio,,,,,Short to Long Term Debt,,,,,ROE,,,,,Current,,,,,Net Project Margin,,,,,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
LHX UN Equity,4.900000095,Industrial,679.00,310.00,2309.00,2303.00,2088.00,0.49,0.44,0.48,0.51,0.38,2.06,2.26,1.93,1.79,1.00,23.64,23.97,25.24,23.94,20.64,3521.00,3522.00,7926.00,7864.00,7921.00,24.26,29.23,8.93,10.29,10.25,1.42,1.14,1.49,1.57,1.41,14.06,14.37,9.68,8.13,4.69,578383.69,468358,456078.3125,1006154.375,184.96,211.72,184.00,172.00
GIS UN Equity,3.299999952,"Consumer, Non-cyclical",-3346.80,-2900.60,-2642.00,-2883.40,-2388.10,0.30,0.30,0.32,0.32,0.35,0.74,0.95,0.86,0.96,0.75,16.50,16.27,16.65,15.68,15.75,15021.10,14490.00,14729.10,14252.50,14038.50,23.18,26.56,27.65,29.50,28.24,0.55,0.59,0.62,0.61,0.64,10.64,13.70,13.01,13.14,10.86,1280613.38,1340465.125,1143374,1706295.625,54.18,52.59,57.70,61.48
DPZ UN Equity,4.172413826,"Consumer, Cyclical",178.53,230.54,184.09,333.79,342.21,0.67,0.71,0.60,0.88,0.93,2.27,2.25,2.11,3.20,3.14,30.27,31.21,26.80,30.61,30.95,3713.99,3669.37,3678.05,4350.50,4340.81,#N/A N/A,,,,,1.43,1.56,1.44,1.74,1.76,11.08,11.38,10.52,11.24,13.93,194157.97,250029.8125,254598.3281,203048.4063,278.26,293.95,338.52,374.09
NOW UN Equity,4.424242496,Technology,276.65,217.31,104.65,74.12,84.80,0.99,0.97,0.92,0.92,0.91,-0.01,-0.06,0.22,3.17,0.25,23379.60,1412.31,88.98,83.45,,1092.77,1107.09,1124.33,1130.87,1203.12,-3.77,0.26,2.86,38.70,39.09,1.13,1.10,1.05,1.03,1.03,-0.20,-1.33,4.58,62.91,4.61,428281.81,530142.5625,465072.4063,447137,294.53,292.87,269.95,414.21
MXIM UW Equity,3.130434752,Technology,2177.77,2168.33,2082.11,2018.83,1922.10,5.71,6.08,6.32,5.91,5.32,0.48,1.35,0.52,0.54,0.60,20.84,17.96,18.67,19.98,15.29,992.23,992.58,1056.07,1054.12,1052.00,36.20,43.83,41.71,45.05,49.65,6.46,6.84,7.08,6.60,5.95,24.08,66.04,26.29,26.50,28.69,1050901.88,1063322.75,1103252,938827.8125,60.20,60.24,53.47,60.40
ROK UN Equity,2.75,Industrial,1104.90,993.30,1048.90,940.00,996.20,1.15,1.09,1.15,1.08,1.10,2.91,2.22,0.07,2.68,1.14,20.57,18.84,19.14,23.84,17.01,2231.10,2240.50,2256.90,2622.10,2393.60,59.08,79.40,68.75,92.92,72.74,1.59,1.51,1.54,1.45,1.57,20.88,15.70,0.47,18.44,7.86,273282.78,265049.7813,252957.1563,224289,159.39,204.25,157.41,210.99
DAL UN Equity,4.210526466,"Consumer, Cyclical",-14127.00,-14030.00,-13267.00,-11955.00,-9117.00,0.24,0.23,0.23,0.28,0.43,1.10,2.22,2.32,1.71,-0.84,8.86,8.88,8.32,8.16,5.01,17511.00,16371.00,16404.00,17255.00,22971.00,32.25,33.67,32.58,32.82,25.74,0.34,0.34,0.34,0.41,0.53,6.97,11.51,11.90,9.61,-6.22,7885627.50,6007592,8335732.5,5255412,58.70,57.66,22.32,27.72
HAL UN Equity,3.466666698,Energy,6141.00,6265.00,6528.00,6334.00,5602.00,1.39,1.39,1.46,1.40,1.23,0.17,0.09,0.34,-1.88,-1.16,17.08,15.71,14.64,20.35,5.34,11471.00,11436.00,11429.00,11503.00,10851.00,19.61,14.47,12.66,-12.90,-27.99,2.22,2.26,2.39,2.30,2.11,2.65,1.26,5.32,-31.84,-20.19,4138219.00,4876154.5,4985884.5,3599858.75,23.03,25.39,7.91,12.57
IDXX UW Equity,4,"Consumer, Non-cyclical",8.03,93.39,76.76,-45.70,-124.89,0.58,0.64,0.59,0.50,0.45,1.19,1.46,1.26,1.05,1.31,50.21,59.17,56.42,53.51,48.45,1129.22,1036.41,910.11,1070.43,1166.98,548.70,,,,,1.01,1.15,1.12,0.94,0.85,17.82,20.27,17.98,14.95,17.85,266533.72,261925.2656,246368.75,260877,278.49,266.93,254.43,334.76
VMC UN Equity,4.217391491,Industrial,424.24,591.43,788.96,843.76,801.10,0.90,1.09,1.52,1.50,1.51,0.48,1.49,1.63,1.07,0.45,29.66,32.46,33.53,31.40,23.47,3393.79,3347.16,3204.45,3202.35,3217.13,10.39,10.86,11.24,11.41,11.37,1.64,1.89,2.47,2.58,2.68,6.35,14.88,15.20,11.89,5.74,339193.53,345267.5313,328016.875,491796.5938,139.76,141.85,103.17,120.82
QRVO UW Equity,4.25,Technology,1249.23,1104.69,1102.19,1576.47,1151.50,2.50,2.12,2.21,3.07,2.01,0.50,0.33,0.71,1.39,0.43,31.96,22.95,23.82,33.19,22.78,921.02,1093.46,1090.18,1642.13,1648.12,2.91,4.50,5.70,7.75,7.73,3.87,3.44,3.45,4.21,3.14,9.03,5.10,10.29,18.57,6.40,559709.63,718545,617681.875,502575.1875,68.97,111.64,82.61,110.30
PAYX UW Equity,3,Technology,742.30,832.70,732.40,804.00,999.70,0.24,0.23,0.22,0.23,0.24,0.90,0.64,0.74,0.72,0.99,28.53,28.72,28.36,28.49,20.53,853.60,796.40,983.80,986.10,990.60,44.01,41.57,43.01,43.17,41.35,1.11,1.17,1.15,1.17,1.19,30.33,23.50,26.63,26.11,31.02,1036139.94,1073384.5,1067264.5,1149962,85.31,84.81,65.29,76.59
EQIX UW Equity,4.629629612,Financial,940.42,1104.10,1016.77,714.75,481.64,1.40,1.26,1.18,1.19,1.02,1.44,1.70,1.42,1.47,1.39,76.85,80.37,92.27,90.36,97.45,12398.36,12267.77,12259.68,13287.32,13079.58,5.40,6.33,6.19,6.32,5.95,1.56,1.59,1.55,1.33,1.26,8.66,10.36,8.65,8.82,8.22,240733.59,230557.5781,232876.1563,226258.5938,518.18,584.48,652.22,718.41
NOC UN Equity,4.380952358,Industrial,1622.00,2004.00,2420.00,1251.00,2951.00,0.33,0.36,0.38,0.38,0.53,5.08,5.07,5.52,-2.43,5.18,12.54,14.73,18.62,16.22,14.32,15190.00,15164.00,15390.00,14339.00,15579.00,39.61,38.12,32.00,26.44,25.31,1.18,1.25,1.29,1.13,1.29,10.54,10.18,11.01,-4.69,10.07,269433.63,300680.9688,255724.0938,287456.8125,325.20,375.83,332.33,309.97
IQV UN Equity,4.565217495,"Consumer, Non-cyclical",497.00,483.00,419.00,181.00,370.00,0.63,0.60,0.59,0.56,0.59,0.29,0.31,0.29,0.09,0.43,71.85,80.49,70.55,80.70,51.21,11855.00,11952.00,12088.00,12194.00,12573.00,3.35,3.56,3.66,3.00,3.54,1.14,1.14,1.12,1.05,1.09,2.16,2.19,2.06,0.55,2.98,373141.19,414246.4375,341030.9688,331328.5938,160.90,155.00,117.14,141.52
PFG UW Equity,3,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.54,1.38,0.99,1.08,1.05,9.21,10.33,11.09,10.40,6.54,3432.20,3991.10,4006.30,3971.10,3775.70,12.69,11.76,10.03,10.72,9.79,#N/A N/A,,,,,11.48,9.72,6.22,7.43,6.35,888126.44,827172.375,855758.5,919262.8125,58.81,55.00,28.26,40.79
MO UN Equity,4.176470757,"Consumer, Non-cyclical",-3857.00,-3469.00,-3371.00,-3350.00,-3219.00,0.35,0.25,0.23,0.28,0.52,0.60,1.07,-1.39,-0.97,0.83,14.49,11.68,9.82,11.76,8.77,29168.00,29240.00,27903.00,28042.00,29971.00,42.00,41.70,13.56,-12.30,-8.33,0.62,0.56,0.56,0.59,0.71,25.52,38.44,-48.04,-37.67,30.76,2654126.25,2840789.5,2561959.25,2105999,48.78,49.83,37.28,39.40
TFC UN Equity,4.230769157,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.98,1.10,0.96,0.76,0.73,11.25,11.56,12.54,13.30,7.68,31993.00,33945.00,36893.00,61678.00,80437.00,11.33,11.36,11.30,7.04,7.52,#N/A N/A,,,,,27.33,29.13,27.47,19.89,18.89,1657295.63,1911601.25,1652407.625,1829233,49.94,55.73,29.77,36.42
OXY UN Equity,2.615384579,Energy,1733.00,1545.00,5247.00,3732.00,2146.00,0.94,0.89,0.68,0.63,0.37,0.84,0.84,-1.08,-1.50,-2.49,12.95,10.14,13.73,25.95,6.93,11024.00,10976.00,48753.00,40011.00,39743.00,19.24,18.10,4.41,-4.40,-18.01,1.23,1.20,1.33,1.25,1.18,15.76,14.37,-13.96,-18.13,-31.40,7765717.00,6430022.5,7863358,5122769,49.28,45.05,13.44,17.78
ZBRA UW Equity,4.111111164,Technology,-4.00,-12.00,-75.00,-209.00,-186.00,0.48,0.49,0.48,0.46,0.42,2.14,2.28,2.52,3.13,1.66,24.79,22.10,20.80,23.69,17.06,1868.00,1853.00,1657.00,1406.00,1492.00,34.89,36.55,33.71,34.28,32.44,1.00,0.99,0.94,0.85,0.85,10.79,11.30,12.04,14.18,8.46,156911.56,192610.2656,156728.4531,184552,217.04,258.01,191.85,255.04
EXPE UW Equity,3.78125,Communications,-3024.00,-2852.00,-2613.00,-2979.00,-1956.00,0.63,0.67,0.67,0.59,0.57,-0.69,1.23,2.77,0.52,-9.24,29.39,29.31,32.52,26.11,13.62,4288.00,4291.00,5463.00,5589.00,7377.00,10.63,14.97,11.81,14.00,-19.93,0.72,0.76,0.75,0.72,0.80,-3.95,5.80,11.50,2.77,-58.90,1656732.88,1458381.625,1519522.75,1685020.25,135.12,108.74,52.83,84.89
NTAP UW Equity,3.115384579,Technology,1931.00,1743.00,1341.00,987.00,689.00,1.43,1.32,1.28,1.18,1.09,1.00,1.62,0.43,1.03,1.23,18.11,18.03,17.80,21.49,14.34,1706.00,1793.00,1726.00,1794.00,1988.00,62.42,69.46,71.02,95.93,134.79,1.56,1.45,1.42,1.31,1.20,15.93,24.87,8.33,17.72,19.73,1231690.75,1076356.5,1027252.438,1389669.375,62.41,61.55,39.60,43.55
LYB UN Equity,3.666666746,Basic Materials,3274.00,3550.00,2242.00,4312.00,4171.00,0.61,0.65,0.52,0.78,0.85,2.19,2.70,2.85,1.83,0.42,8.11,8.81,9.40,9.85,5.59,11459.00,11984.00,13601.00,13551.00,14847.00,43.00,33.94,36.66,37.07,31.12,1.47,1.47,1.30,1.83,1.76,9.31,11.09,11.06,7.48,1.89,713481.88,778483.875,656637.75,1026789.625,87.42,91.31,49.88,66.96
INFO UN Equity,4.473684311,"Consumer, Non-cyclical",-761.00,-658.50,-474.30,-661.40,-584.20,0.53,0.50,0.59,0.51,0.58,0.28,0.37,0.10,0.51,1.23,58.89,61.07,54.16,56.04,44.45,5596.30,5257.80,5052.40,5125.50,5607.60,4.98,5.52,4.73,6.12,10.51,0.64,0.66,0.71,0.66,0.70,10.48,13.19,3.61,18.13,44.87,653177.94,740779.875,627731.625,768439.1875,64.62,76.24,64.47,75.85
APD UN Equity,4.185184956,Basic Materials,2822.20,2760.00,2797.40,2900.70,2881.60,1.93,1.87,2.02,2.03,2.00,1.91,2.21,2.28,2.15,2.16,24.49,28.24,27.04,27.67,23.40,3790.80,3819.70,3326.00,3705.80,3706.00,15.59,15.63,16.06,16.83,17.26,2.36,2.28,2.54,2.59,2.59,19.26,21.94,22.04,21.09,21.56,310036.13,392913.0625,329529.75,458425.5938,230.58,225.90,193.86,247.42
HCA UN Equity,4.666666508,"Consumer, Non-cyclical",577.00,3908.00,3645.00,3439.00,3997.00,0.76,1.08,1.08,1.03,1.09,3.03,2.29,1.80,3.09,1.72,13.87,13.99,12.37,14.08,9.12,36619.00,37992.00,36029.00,35658.00,36358.00,#N/A N/A,,,,,1.05,1.44,1.51,1.44,1.57,8.30,6.21,4.82,7.92,4.52,603292.19,684232.375,598303.5,534578.8125,138.53,148.50,93.58,97.97
WST UN Equity,3.5,"Consumer, Non-cyclical",566.50,631.10,669.10,717.10,633.10,1.94,2.10,2.13,2.22,1.94,0.75,0.90,0.76,0.86,1.01,37.96,40.52,45.48,46.11,43.16,273.10,272.60,268.40,329.30,327.30,16.35,16.77,16.19,16.28,18.23,2.88,3.02,3.00,3.10,2.84,12.49,14.07,12.34,13.58,15.12,538561.56,254681.1563,338483.7188,282739.5938,124.00,152.22,161.30,229.73
WAB UN Equity,4,Industrial,1126.70,1017.83,1211.50,934.10,1259.50,0.55,0.53,0.56,0.54,0.59,-0.04,0.58,0.48,0.71,0.58,18.46,17.51,16.98,17.82,12.50,5211.81,4877.80,5004.30,4702.40,5017.40,3.19,3.51,3.58,5.09,4.55,1.35,1.32,1.38,1.29,1.42,-0.28,4.66,4.55,5.73,5.78,393263.72,450725.375,382491.875,593297.1875,73.74,80.00,49.09,58.68
PXD UN Equity,4.756756783,Energy,-27.00,-350.00,-537.00,-305.00,-11.00,0.72,0.56,0.52,0.67,0.64,2.06,-1.01,1.38,2.06,1.74,22.96,20.52,16.94,17.56,9.35,2647.00,2622.00,2610.00,3167.00,2913.00,9.73,7.83,6.17,6.22,5.68,0.99,0.86,0.78,0.88,0.99,15.57,-7.09,9.51,12.96,14.09,688615.63,664687.1875,645770.4375,563554,146.52,158.11,76.24,96.80
MYL UW Equity,4.052631378,"Consumer, Non-cyclical",2104.70,1705.10,2000.10,1188.20,1372.30,0.63,0.55,0.63,0.56,0.58,-0.05,-0.33,0.37,0.04,0.04,12.56,9.52,15.48,14.63,9.89,14025.10,13590.40,13323.50,12974.80,12920.10,1.92,0.29,0.40,0.14,0.54,1.51,1.37,1.43,1.21,1.26,-1.00,-5.91,6.41,0.64,0.79,2290405.75,2337009.75,2234924.25,2029202.625,19.49,20.87,14.04,15.93
ANSS UW Equity,3.400000095,Technology,559.40,627.68,732.40,860.34,753.56,1.74,1.84,2.17,1.88,1.96,1.03,1.31,1.06,1.95,0.54,35.86,38.83,41.95,47.64,47.63,102.53,107.55,107.83,608.46,549.34,16.55,16.47,16.03,14.79,13.76,2.11,2.24,2.55,2.24,2.40,27.19,29.77,26.01,34.11,15.10,234001.64,275643.4063,224872.9531,255869.5938,209.51,254.59,242.46,297.97
DGX UN Equity,4,"Consumer, Non-cyclical",-504.00,-338.00,-232.00,500.00,431.00,0.68,0.71,0.77,1.13,1.16,1.22,1.67,1.59,1.88,0.74,15.88,18.23,18.94,19.33,15.89,4777.00,4535.00,4545.00,5328.00,4590.00,13.95,13.61,13.35,15.75,14.45,0.78,0.82,0.88,1.25,1.38,8.67,11.57,10.99,13.14,5.43,368441.78,429798.4688,416216.6875,366720.8125,103.26,105.68,78.69,116.04
XYL UN Equity,3.210526228,Industrial,640.00,721.00,802.00,949.00,878.00,0.90,0.96,1.05,1.17,1.08,0.44,0.77,0.36,0.65,0.21,21.13,21.18,19.85,22.17,19.91,2603.00,2709.00,2580.00,2562.00,2546.00,20.57,21.19,18.46,14.01,12.84,1.44,1.47,1.55,1.63,1.55,6.39,10.33,5.02,8.61,3.38,415176.59,418240.0313,381492.5625,587247.8125,82.84,79.80,65.19,65.42
CERN UW Equity,4.28000021,Technology,1483.18,1571.10,1211.48,1069.18,945.12,2.19,2.12,1.78,1.64,1.52,0.51,0.40,0.26,0.49,0.48,29.37,36.74,33.90,32.97,27.56,581.18,1180.14,1171.82,1172.54,1338.42,12.69,12.38,10.69,11.45,11.35,2.58,2.52,2.21,2.04,1.93,11.96,8.87,5.73,10.70,10.42,1068150.63,1085273.875,1005368.563,1119622.75,74.50,73.99,63.96,69.91
PHM UN Equity,3.611111164,"Consumer, Cyclical",6680.18,6532.55,6632.90,6862.69,7656.50,0.54,0.32,0.37,0.58,0.87,0.59,0.86,0.99,1.23,0.75,7.66,8.73,10.14,10.70,5.79,3345.05,3070.21,3088.55,3183.02,3822.73,21.87,19.28,18.35,19.59,19.94,4.43,4.32,4.32,4.28,4.67,8.35,9.68,10.08,11.13,8.88,1044522.25,1148392.375,1105668.125,1077091.625,31.94,39.31,21.70,32.88
ULTA UW Equity,4.407407284,"Consumer, Cyclical",1091.13,973.73,855.67,840.55,918.06,0.66,0.60,0.41,0.26,0.56,3.64,3.28,2.77,2.25,3.91,31.74,30.07,21.12,21.19,14.38,0.00,1865.83,1892.00,1929.43,1938.35,36.64,36.85,38.30,37.90,37.93,2.32,1.93,1.80,1.67,1.81,10.10,11.03,9.68,7.71,9.66,487360.59,433695.2188,422123.25,503152,344.95,250.95,188.68,203.59
CVS UN Equity,4.5,"Consumer, Non-cyclical",-2774.00,-2475.00,-4359.00,-3001.00,-602.00,0.55,0.54,0.52,0.52,0.60,1.09,1.49,1.17,1.34,1.54,9.13,8.94,10.24,13.11,9.92,95550.00,91923.00,89678.00,89002.00,92319.00,-0.35,8.93,9.01,10.87,11.57,0.95,0.95,0.92,0.94,0.99,2.31,3.05,2.36,2.61,3.01,1799439.13,2160865.25,1812611.5,1668203.375,55.57,73.86,56.22,64.70
FBHS UN Equity,3.588235378,Industrial,609.20,221.70,530.10,488.90,667.90,0.75,0.58,0.71,0.72,0.83,0.60,0.98,0.76,0.75,0.78,13.71,16.31,15.57,19.09,11.92,2700.50,2594.90,2521.30,2357.20,2569.20,17.35,18.03,18.09,18.76,19.83,1.49,1.13,1.39,1.35,1.54,6.38,9.12,7.24,7.08,7.78,322473.09,383944.5,357063.0625,418487.8125,56.52,65.89,40.62,62.69
BSX UN Equity,4.692307472,"Consumer, Non-cyclical",1755.00,1485.00,593.00,-167.00,847.00,0.39,0.38,0.49,0.42,0.49,0.31,0.11,0.09,2.87,0.01,37.53,42.92,36.95,39.66,31.20,9494.00,9801.00,11200.00,10351.00,10604.00,22.10,16.26,12.12,41.59,37.22,1.39,1.31,1.14,0.97,1.21,17.01,5.85,4.65,137.56,0.43,2705457.75,2517110.25,2306936,3182892.75,42.62,45.35,32.88,35.38
FTV UN Equity,4,Industrial,3156.70,645.10,549.60,221.60,1324.50,1.85,0.86,0.82,0.75,1.11,0.44,0.47,0.56,0.52,0.07,31.55,30.57,25.53,27.88,22.56,5952.10,6398.80,6233.10,6542.30,6283.90,50.53,41.59,39.89,9.58,7.77,2.20,1.23,1.19,1.06,1.62,10.32,9.36,11.13,9.63,2.45,648720.50,586282.9375,556528.875,716634,80.98,76.83,57.25,68.15
TSN UN Equity,4.384615421,"Consumer, Non-cyclical",1762.00,1836.00,1656.00,1657.00,2693.00,0.48,0.51,0.48,0.46,0.61,1.17,1.86,1.01,1.52,1.00,11.13,13.00,15.20,15.84,10.88,12374.00,12586.00,11932.00,12247.00,12661.00,16.08,16.62,15.04,14.72,14.11,1.38,1.33,1.30,1.30,1.61,4.08,6.21,3.39,5.15,3.34,852227.31,927980.0625,837649.4375,755407.375,82.63,90.15,56.45,58.45
IR UN Equity,3.75,Industrial,782.10,872.60,898.30,969.30,1539.40,1.26,1.38,1.45,1.68,1.14,0.23,0.22,0.20,0.13,-0.13,19.17,25.00,21.87,35.22,22.40,1691.60,1689.10,1656.70,1669.50,3557.00,16.59,15.42,13.35,8.97,1.44,2.27,2.48,2.51,2.69,2.11,7.59,7.14,6.92,4.26,-4.60,1324306.88,1154358.75,1022681.875,1588248,34.49,36.28,25.43,28.46
CBRE UN Equity,4.25,Financial,986.78,997.77,1030.87,1098.01,1198.16,0.73,0.77,0.77,0.84,0.81,0.49,0.67,0.76,1.90,0.51,17.07,17.05,16.70,16.73,10.35,4814.63,4518.53,4357.56,3971.19,4249.14,22.81,21.89,20.31,22.96,23.00,1.16,1.17,1.17,1.17,1.20,3.20,3.92,4.33,8.96,2.92,745215.13,692871.375,716647.625,919911,52.77,60.69,39.78,45.51
JCI UN Equity,4.142857075,Industrial,-605.00,3800.00,3323.00,1628.00,446.00,0.44,1.05,0.95,0.80,0.68,0.57,4.81,0.77,0.21,0.28,21.43,22.65,21.73,18.56,11.86,9321.00,4685.00,4675.00,5792.00,5607.00,11.56,28.36,27.73,27.79,27.16,0.96,1.41,1.37,1.17,1.05,8.91,64.98,9.75,2.85,3.91,1605737.38,1564012.25,1376193.75,2261729.5,41.87,41.18,27.41,34.34
AON UN Equity,3.714285612,Financial,1382.00,1264.00,466.00,905.00,234.00,0.27,0.26,0.25,0.26,0.26,2.72,1.15,0.94,1.59,3.31,23.40,27.58,26.69,24.08,18.47,7608.00,8810.00,8490.00,8779.00,9221.00,23.80,34.08,38.77,40.71,41.41,1.10,1.08,1.03,1.06,1.01,20.97,10.63,9.33,12.96,23.98,473974.72,476900.4063,466061.4063,471830.8125,197.58,208.57,173.15,191.45
HIG UN Equity,4.529411793,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.74,1.03,1.45,1.51,0.75,11.90,13.40,13.44,11.29,6.68,4433.00,4776.00,5055.00,5049.00,4349.00,13.48,11.78,12.02,14.39,11.81,#N/A N/A,,,,,12.75,7.31,10.01,10.22,5.51,1024969.31,924123.875,919779.375,849802.8125,56.95,60.48,33.95,37.50
ALB UN Equity,3.086956501,Basic Materials,708.99,636.66,548.51,816.11,962.26,0.84,0.73,0.67,0.87,0.90,1.26,1.46,1.46,0.85,1.01,15.05,12.51,11.90,12.41,9.92,1950.95,2016.03,2063.14,3741.24,3283.90,18.61,14.60,15.54,14.19,13.43,1.55,1.45,1.39,1.58,1.81,16.05,17.42,17.63,9.11,14.51,337074.66,508993.9063,375422.6875,359935,70.51,71.49,56.93,78.56
ALXN UW Equity,4.360000134,"Consumer, Non-cyclical",2706.80,3137.00,3250.00,3882.10,3750.30,2.83,3.12,3.05,3.34,3.31,2.63,2.05,2.09,4.02,2.52,18.32,16.19,11.26,11.62,9.41,2846.70,2831.20,2796.90,2762.70,2632.80,4.43,14.09,15.05,23.53,22.13,3.87,4.04,3.98,4.25,4.35,51.55,38.21,37.02,64.22,38.59,935396.31,939236.75,930477.625,1070528.625,130.30,106.58,95.91,112.30
WMB UN Equity,4.615384579,Energy,-2882.00,-1361.00,-1890.00,-2388.00,-551.00,0.23,0.50,0.34,0.32,0.63,0.16,0.26,0.18,0.10,-0.43,36.58,28.02,23.18,18.72,10.48,23501.00,22502.00,22470.00,22497.00,22476.00,-0.96,0.53,1.04,6.06,1.01,0.31,0.60,0.43,0.40,0.74,9.49,15.19,11.06,5.89,-27.03,2452355.75,3208795.25,2589961.5,3047675.25,28.35,23.90,13.50,19.08
NEE UN Equity,3.947368383,Utilities,-9704.00,-6941.00,-5635.00,-6445.00,-3997.00,0.18,0.25,0.29,0.21,0.39,1.42,2.58,1.82,1.99,0.86,24.40,25.64,28.15,29.59,28.49,40213.00,41717.00,41787.00,43137.00,47206.00,8.63,9.84,9.08,10.59,9.94,0.46,0.52,0.58,0.53,0.71,16.69,24.83,15.78,21.25,9.13,680311.38,820250.3125,699185.375,703612.8125,208.11,241.52,234.51,246.40
SNPS UW Equity,4.733333111,Technology,-228.01,-89.04,-12.81,-13.54,-104.31,0.67,0.67,0.70,0.73,0.73,1.03,0.79,0.67,1.07,0.69,37.45,41.35,42.21,36.95,36.77,541.87,291.84,141.94,137.71,858.52,17.06,16.90,17.65,14.08,12.18,0.89,0.95,0.99,0.99,0.95,18.71,14.14,11.72,18.88,12.47,485165.91,538936,473476.3125,472044.5938,135.40,141.98,135.91,197.58
GD UN Equity,4.476190567,Industrial,3485.00,1543.00,1924.00,2979.00,6301.00,0.29,0.24,0.24,0.26,0.48,2.59,2.80,3.17,3.53,2.45,14.95,16.10,15.83,14.72,11.17,15242.00,15583.00,15402.00,13787.00,19412.00,27.42,26.63,25.68,27.53,27.09,1.23,1.09,1.11,1.18,1.34,8.04,8.44,9.35,9.47,8.07,443432.63,554236.3125,485649.3438,450349.5938,182.28,182.09,133.69,147.30
EMN UN Equity,4.5,Basic Materials,1199.00,1290.00,1360.00,1532.00,1536.00,0.63,0.64,0.67,0.66,0.75,1.50,1.87,1.95,0.19,1.90,9.84,10.40,10.42,11.13,6.31,6671.00,6556.00,6406.00,5977.00,6480.00,17.54,15.79,12.85,12.91,13.51,1.51,1.58,1.65,1.86,1.66,8.78,10.92,11.44,1.18,11.51,429640.50,452868.5625,429874.1563,458430,77.85,75.51,50.18,69.98
UAL UW Equity,3.799999952,"Consumer, Cyclical",-7727.00,-7168.00,-7158.00,-6744.00,-8182.00,0.38,0.45,0.43,0.42,0.37,1.09,4.03,4.01,2.53,-6.86,8.09,8.07,7.45,7.27,5.84,20088.00,20183.00,20140.00,20450.00,23429.00,25.02,27.83,27.24,27.90,10.54,0.50,0.55,0.54,0.55,0.49,3.05,9.23,9.00,5.89,-21.36,14785782.00,7439227.5,11692371,11630823,90.59,87.70,24.02,34.14
WHR UN Equity,3.200000048,"Consumer, Cyclical",-1642.00,-1591.00,-1125.00,-971.00,-414.00,0.34,0.35,0.42,0.50,0.56,7.36,1.04,5.62,4.56,2.42,7.66,8.27,9.27,8.02,5.66,7566.00,7734.00,6354.00,5937.00,7774.00,5.47,35.67,39.57,43.16,29.51,0.83,0.84,0.87,0.88,0.95,9.90,1.29,7.03,5.35,3.51,221855.56,253071.9688,227242.8438,222586.5938,144.66,147.29,92.49,129.18
SIVB UW Equity,4.045454502,Financial,#N/A N/A,,,,,#N/A N/A,,,,,5.49,6.12,5.19,5.10,2.56,11.16,10.41,9.66,11.51,7.98,916.34,916.55,908.67,584.26,3713.51,21.88,22.48,21.09,20.22,16.29,#N/A N/A,,,,,36.40,36.84,32.81,31.03,16.42,206676.33,221137.5313,200401,211138.5938,222.90,249.24,159.32,208.34
PEG UN Equity,3.84210515,Utilities,-1446.00,-826.00,-1008.00,-1816.00,-1433.00,0.38,0.35,0.36,0.34,0.44,1.39,0.30,0.80,0.86,0.89,18.54,18.29,19.08,17.30,15.89,15542.00,16027.00,16158.00,16529.00,17033.00,10.93,10.13,9.94,11.49,9.59,0.68,0.79,0.75,0.64,0.72,23.49,6.61,17.51,17.64,16.11,752082.25,983113.8125,768307.625,918335.1875,59.57,58.13,46.85,50.11
CDNS UW Equity,3.933333397,Technology,286.51,369.06,430.97,496.95,387.08,1.11,1.25,1.32,1.32,1.13,0.44,0.39,0.37,2.41,0.45,43.84,45.65,42.58,45.80,41.90,500.59,466.55,464.06,456.36,696.21,31.37,32.50,31.25,58.32,56.33,1.45,1.60,1.70,1.74,1.38,20.90,18.48,17.51,110.03,20.06,963121.19,999651.125,983751.0625,1131364.25,74.41,70.85,69.42,97.82
ETN UN Equity,4.166666508,Industrial,2458.00,3676.00,3351.00,3596.00,3726.00,0.82,1.07,0.99,0.78,0.68,1.23,1.51,1.44,1.09,1.07,14.50,14.62,14.45,16.41,13.86,7997.00,8518.00,8478.00,8774.00,8763.00,13.01,13.37,14.66,13.74,13.96,1.47,1.83,1.72,1.70,1.75,9.84,11.49,11.31,8.63,9.15,751684.81,826722.1875,679515.8125,783655.1875,81.81,95.34,77.40,88.24
CTAS UW Equity,3.428571463,"Consumer, Non-cyclical",1229.41,1108.55,1166.94,1193.04,1431.06,0.96,0.89,0.91,0.91,1.10,1.91,2.16,2.40,2.35,2.23,27.69,31.22,33.55,31.66,19.64,2754.46,2849.77,3045.53,2913.24,2909.99,27.43,29.08,28.59,29.96,29.22,2.24,1.98,2.04,1.92,2.34,12.09,12.61,13.85,13.35,12.95,293009.50,321863.6875,317121.9063,333105.8125,239.53,270.27,179.49,270.65
LNC UN Equity,3.923076868,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.23,1.80,-0.81,2.18,0.15,6.80,7.18,9.44,8.89,3.90,6076.00,6119.00,6581.00,6607.00,6748.00,9.35,8.87,4.80,5.19,4.01,#N/A N/A,,,,,6.36,8.42,-3.47,9.92,1.18,554735.06,627121.625,556281.25,681851,66.22,57.48,26.99,34.61
